"ubigeo","actasContabilizadas","contabilizadas","totalActas","participacionCiudadana","actasEnviadasJee","enviadasJee","actasPendientesJee","pendientesJee","fechaActualizacion","idUbigeoDepartamento","idUbigeoProvincia","idUbigeoDistrito","idUbigeoDistritoElectoral","totalVotosEmitidos","totalVotosValidos","porcentajeVotosEmitidos","porcentajeVotosValidos"
"020901",87.5,7,8,56.184,12.5,1,0,0,1781051880116,20000,20900,20901,NA,1222,1128,100,100
"020902",100,14,14,58.252,0,0,0,0,1781051880116,20000,20900,20902,NA,2199,2022,100,100
"020903",100,10,10,64.661,0,0,0,0,1781051880116,20000,20900,20903,NA,1601,1459,100,100
"020904",100,8,8,40.336,0,0,0,0,1781051880116,20000,20900,20904,NA,768,721,100,100
"020905",100,5,5,50.552,0,0,0,0,1781051880116,20000,20900,20905,NA,595,554,100,100
"020906",100,18,18,57.202,0,0,0,0,1781051880116,20000,20900,20906,NA,2772,2448,100,100
"020907",100,4,4,62.692,0,0,0,0,1781051880116,20000,20900,20907,NA,694,656,100,100
"020908",100,4,4,51.889,0,0,0,0,1781051880116,20000,20900,20908,NA,563,507,100,100
"021001",100,7,7,64.332,0,0,0,0,1781051880116,20000,21000,21001,NA,1286,1132,100,100
"021002",100,4,4,61.421,0,0,0,0,1781051880116,20000,21000,21002,NA,562,506,100,100
"021003",100,24,24,50.009,0,0,0,0,1781051880116,20000,21000,21003,NA,2922,2678,100,100
"021004",100,2,2,64.269,0,0,0,0,1781051880116,20000,21000,21004,NA,277,251,100,100
"021005",100,3,3,61.861,0,0,0,0,1781051880116,20000,21000,21005,NA,472,446,100,100
"021006",100,2,2,51.543,0,0,0,0,1781051880116,20000,21000,21006,NA,284,261,100,100
"021007",100,2,2,67.538,0,0,0,0,1781051880116,20000,21000,21007,NA,310,281,100,100
"021008",75,6,8,47.751,25,2,0,0,1781051880116,20000,21000,21008,NA,998,940,100,100
"021009",100,12,12,51.545,0,0,0,0,1781051880116,20000,21000,21009,NA,1668,1567,100,100
"021010",100,4,4,70.098,0,0,0,0,1781051880116,20000,21000,21010,NA,572,541,100,100
"021011",100,8,8,65.567,0,0,0,0,1781051880116,20000,21000,21011,NA,1312,1219,100,100
"021101",100,39,39,65.421,0,0,0,0,1781051880116,20000,21100,21101,NA,6828,6151,100,100
"021102",100,11,11,67.758,0,0,0,0,1781051880116,20000,21100,21102,NA,1986,1821,100,100
"021103",100,21,21,46.101,0,0,0,0,1781052120079,20000,21100,21103,NA,2365,2086,100,100
"021104",100,8,8,48.96,0,0,0,0,1781052120079,20000,21100,21104,NA,1012,879,100,100
"021201",100,18,18,73.524,0,0,0,0,1781052120079,20000,21200,21201,NA,3338,3108,100,100
"021202",66.667,2,3,40.545,33.333,1,0,0,1781052120079,20000,21200,21202,NA,253,236,100,100
"021203",100,3,3,59.067,0,0,0,0,1781052120079,20000,21200,21203,NA,443,406,100,100
"021204",100,5,5,58.128,0,0,0,0,1781052120079,20000,21200,21204,NA,683,649,100,100
"021205",100,4,4,60.934,0,0,0,0,1781052120079,20000,21200,21205,NA,574,542,100,100
"021206",100,6,6,52.049,0,0,0,0,1781052120079,20000,21200,21206,NA,762,734,100,100
"021207",100,2,2,49.233,0,0,0,0,1781052120079,20000,21200,21207,NA,289,267,100,100
"021208",100,8,8,74.38,0,0,0,0,1781052120079,20000,21200,21208,NA,1710,1615,100,100
"021209",100,5,5,60.461,0,0,0,0,1781052120079,20000,21200,21209,NA,656,629,100,100
"021210",100,13,13,78.77,0,0,0,0,1781052120079,20000,21200,21210,NA,2857,2712,100,100
"021301",98.551,612,621,73.901,1.449,9,0,0,1781052120079,20000,21300,21301,NA,134985,122854,100,100
"021302",100,16,16,67.465,0,0,0,0,1781052120079,20000,21300,21302,NA,3125,2840,100,100
"021303",100,13,13,55.01,0,0,0,0,1781052120079,20000,21300,21303,NA,1861,1755,100,100
"021304",100,25,25,77.817,0,0,0,0,1781052120079,20000,21300,21304,NA,5725,5362,100,100
"021305",95.122,39,41,72.894,4.878,2,0,0,1781052120079,20000,21300,21305,NA,8619,8046,100,100
"021306",100,14,14,77.49,0,0,0,0,1781052120079,20000,21300,21306,NA,3174,2980,100,100
"021307",97.753,87,89,75.443,2.247,2,0,0,1781052120079,20000,21300,21307,NA,19622,17928,100,100
"021308",97.872,46,47,75.847,2.128,1,0,0,1781052120079,20000,21300,21308,NA,10316,9481,100,100
"021309",99.048,416,420,76.832,0.952,4,0,0,1781052120079,20000,21300,21309,NA,95121,86730,100,100
"021401",100,12,12,62.053,0,0,0,0,1781052120079,20000,21400,21401,NA,2188,1990,100,100
"021402",100,2,2,48.256,0,0,0,0,1781052120079,20000,21400,21402,NA,249,238,100,100
"021403",100,4,4,54.939,0,0,0,0,1781052120079,20000,21400,21403,NA,495,463,100,100
"021404",100,11,11,52.379,0,0,0,0,1781052120079,20000,21400,21404,NA,1607,1450,100,100
"021405",100,8,8,52.402,0,0,0,0,1781052120079,20000,21400,21405,NA,1058,937,100,100
"021406",100,5,5,59.496,0,0,0,0,1781052120079,20000,21400,21406,NA,827,762,100,100
"021407",100,6,6,51.751,0,0,0,0,1781052120079,20000,21400,21407,NA,724,679,100,100
"021408",100,9,9,57.405,0,0,0,0,1781052120079,20000,21400,21408,NA,1314,1223,100,100
"021409",100,10,10,57.26,0,0,0,0,1781052120079,20000,21400,21409,NA,1530,1411,100,100
"021410",100,22,22,61.461,0,0,0,0,1781052120079,20000,21400,21410,NA,3518,3183,100,100
"021501",98.333,59,60,75.335,1.667,1,0,0,1781052120079,20000,21500,21501,NA,12947,11705,100,100
"021502",100,6,6,64.811,0,0,0,0,1781052120079,20000,21500,21502,NA,1083,958,100,100
"021503",100,22,22,75.688,0,0,0,0,1781052120079,20000,21500,21503,NA,4486,4034,100,100
"021504",100,6,6,78.901,0,0,0,0,1781052120079,20000,21500,21504,NA,1264,1122,100,100
"021505",100,39,39,57.155,0,0,0,0,1781052120079,20000,21500,21505,NA,6075,5497,100,100
"021506",100,10,10,79.135,0,0,0,0,1781052120079,20000,21500,21506,NA,2325,2117,100,100
"021507",100,8,8,64.158,0,0,0,0,1781052120079,20000,21500,21507,NA,1296,1174,100,100
"021508",100,18,18,56.596,0,0,0,0,1781052120079,20000,21500,21508,NA,2793,2476,100,100
"021601",100,8,8,55.835,0,0,0,0,1781051880116,20000,21600,21601,NA,1153,1038,100,100
"021602",100,6,6,54.086,0,0,0,0,1781051880116,20000,21600,21602,NA,834,782,100,100
"021603",100,5,5,45.614,0,0,0,0,1781051880116,20000,21600,21603,NA,624,584,100,100
"021604",100,6,6,60.772,0,0,0,0,1781051880116,20000,21600,21604,NA,945,873,100,100
"021605",100,16,16,45.719,0,0,0,0,1781051880116,20000,21600,21605,NA,1826,1682,100,100
"021606",100,5,5,43.955,0,0,0,0,1781051880116,20000,21600,21606,NA,549,509,100,100
"021701",100,32,32,59.88,0,0,0,0,1781051880116,20000,21700,21701,NA,4909,4401,100,100
"021702",92.857,13,14,49.947,7.143,1,0,0,1781051880116,20000,21700,21702,NA,1876,1670,100,100
"021703",100,11,11,50.845,0,0,0,0,1781051880116,20000,21700,21703,NA,1414,1271,100,100
"021801",100,13,13,66.968,0,0,0,0,1781051880116,20000,21800,21801,NA,2368,2114,100,100
"021802",90,9,10,52.191,10,1,0,0,1781051880116,20000,21800,21802,NA,1334,1162,100,100
"021901",98.63,72,73,74.135,1.37,1,0,0,1781051880116,20000,21900,21901,NA,15770,14998,100,100
"021902",100,5,5,57.262,0,0,0,0,1781051880116,20000,21900,21902,NA,619,579,100,100
"021903",100,4,4,59.615,0,0,0,0,1781051880116,20000,21900,21903,NA,527,506,100,100
"021904",75,3,4,47.988,25,1,0,0,1781051880116,20000,21900,21904,NA,477,463,100,100
"021905",87.5,7,8,63.621,12.5,1,0,0,1781051880116,20000,21900,21905,NA,1462,1396,100,100
"022001",100,3,3,52.034,0,0,0,0,1781051880116,20000,22000,22001,NA,243,237,100,100
"022002",100,1,1,56.906,0,0,0,0,1781051880116,20000,22000,22002,NA,103,98,100,100
"022003",100,2,2,57.707,0,0,0,0,1781051880116,20000,22000,22003,NA,307,299,100,100
"022004",100,6,6,67.724,0,0,0,0,1781051880116,20000,22000,22004,NA,961,927,100,100
"022005",100,4,4,54.959,0,0,0,0,1781051880116,20000,22000,22005,NA,532,506,100,100
"022006",100,1,1,47.791,0,0,0,0,1781051880116,20000,22000,22006,NA,119,114,100,100
"022007",100,4,4,61.589,0,0,0,0,1781051880116,20000,22000,22007,NA,566,533,100,100
"022008",100,3,3,34.911,0,0,0,0,1781051880116,20000,22000,22008,NA,236,231,100,100
"022009",100,4,4,62.512,0,0,0,0,1781051880116,20000,22000,22009,NA,642,609,100,100
"022010",100,2,2,57.005,0,0,0,0,1781051880116,20000,22000,22010,NA,236,227,100,100
"030101",98.765,160,162,73.951,1.235,2,0,0,1781052120079,30000,30100,30101,NA,34944,32842,100,100
"030102",100,13,13,65.492,0,0,0,0,1781052120079,30000,30100,30102,NA,2137,2042,100,100
"030103",100,49,49,74.358,0,0,0,0,1781052120079,30000,30100,30103,NA,10480,9697,100,100
"030104",100,5,5,65.653,0,0,0,0,1781052120079,30000,30100,30104,NA,864,838,100,100
"030105",100,13,13,56.489,0,0,0,0,1781052120079,30000,30100,30105,NA,2072,1945,100,100
"030106",100,16,16,65.48,0,0,0,0,1781052120079,30000,30100,30106,NA,2851,2713,100,100
"030107",100,16,16,68.554,0,0,0,0,1781052120079,30000,30100,30107,NA,2858,2685,100,100
"030108",100,10,10,67.179,0,0,0,0,1781052120079,30000,30100,30108,NA,1791,1654,100,100
"030109",100,29,29,79.638,0,0,0,0,1781052120079,30000,30100,30109,NA,6727,6333,100,100
"030201",100,11,11,70.305,0,0,0,0,1781052120079,30000,30200,30201,NA,2074,1971,100,100
"030202",100,3,3,65.951,0,0,0,0,1781052120079,30000,30200,30202,NA,430,408,100,100
"030203",100,4,4,61.62,0,0,0,0,1781052120079,30000,30200,30203,NA,700,671,100,100
"030204",100,3,3,69.309,0,0,0,0,1781052120079,30000,30200,30204,NA,542,517,100,100
"030205",100,13,13,61.761,0,0,0,0,1781052120079,30000,30200,30205,NA,2153,2066,100,100
"030206",100,10,10,58.586,0,0,0,0,1781052120079,30000,30200,30206,NA,1293,1210,100,100
"030207",100,3,3,64.815,0,0,0,0,1781052120079,30000,30200,30207,NA,420,396,100,100
"030208",100,6,6,64.467,0,0,0,0,1781052120079,30000,30200,30208,NA,1094,1016,100,100
"030209",100,5,5,62.623,0,0,0,0,1781052120079,30000,30200,30209,NA,888,849,100,100
"030210",100,4,4,64.974,0,0,0,0,1781052120079,30000,30200,30210,NA,742,704,100,100
